D_CLIENTE,ESTADO,D_EMPRESA_TRANSPORTISTA,TIPOTRANSPORTE,PESO_NETO,CAP_MAXIMA,CIUDAD,PLANTAORIGEN_Pesqueria,TIPO_SERVICIO_LO,TIPO_PERMISO_Despacho,TIPO_PERMISO_Cliente ENVIA,TIPO_PERMISO_Traslado Externo,TIPO_PERMISO_Traslado Externo sin Pesada
151,14,TRANSPORTE43,5,18270,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE19,5,36870,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE57,6,32490,54.0,42,1,1,0,0,1,0
260,14,TRANSPORTE68,5,18670,54.0,61,1,1,0,1,0,0
260,14,TRANSPORTE68,5,17680,54.0,61,1,1,0,1,0,0
227,14,TRANSPORTE54,5,33980,54.0,42,1,1,0,0,1,0
28,14,TRANSPORTE38,5,40000,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE57,6,20710,54.0,42,1,1,0,0,1,0
157,14,TRANSPORTE81,3,28930,46.5,49,1,1,0,0,1,0
150,14,TRANSPORTE53,6,27100,54.0,49,1,1,0,1,0,0
227,14,TRANSPORTE54,5,22980,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE63,6,32180,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE68,5,20840,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE66,6,36860,54.0,42,1,1,0,0,1,0
151,14,TRANSPORTE49,5,20350,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE53,6,22830,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE56,11,36830,54.0,42,1,1,0,0,1,0
266,14,TRANSPORTE70,3,23460,46.5,3,1,1,0,1,0,0
151,14,TRANSPORTE16,5,35170,54.0,3,1,1,0,0,1,0
96,14,TRANSPORTE61,6,30460,54.0,3,1,1,0,1,0,0
266,14,TRANSPORTE53,6,23450,54.0,3,1,1,0,1,0,0
227,14,TRANSPORTE68,5,33950,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE68,7,39870,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE38,5,35120,54.0,42,1,1,0,0,1,0
266,14,TRANSPORTE38,5,23590,54.0,3,1,1,0,1,0,0
28,14,TRANSPORTE66,5,39560,54.0,61,1,1,0,0,1,0
266,14,TRANSPORTE63,6,23560,54.0,3,1,1,0,1,0,0
204,14,TRANSPORTE54,5,26060,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE54,5,23680,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE54,5,22130,54.0,42,1,1,0,0,1,0
266,14,TRANSPORTE38,5,23360,54.0,3,1,1,0,1,0,0
266,14,TRANSPORTE22,5,23600,54.0,3,1,1,0,1,0,0
266,14,TRANSPORTE53,6,23370,54.0,3,1,1,0,1,0,0
236,18,TRANSPORTE75,5,33340,54.0,60,1,0,0,0,1,0
266,14,TRANSPORTE70,7,23360,54.0,3,1,1,0,1,0,0
85,9,TRANSPORTE46,5,36160,54.0,67,1,0,1,0,0,0
266,14,TRANSPORTE68,8,23380,54.0,3,1,1,0,1,0,0
266,14,TRANSPORTE38,5,23550,54.0,3,1,1,0,1,0,0
227,14,TRANSPORTE54,5,22180,54.0,42,1,1,0,0,1,0
